file_name,gps_info,resolution_unit,exif_offset,make,model,software,orientation,date_time,y_cb_cr_positioning,x_resolution,y_resolution,date,time
HIP_01_E8XT_7_Cool.jpg,722,2,238,FLIR Systems AB,FLIR E8xt Wifi,Flir Cronos,1,2024:03:29 11:16:47,1,72.0,72.0,2024-03-26,11:32:42
HIP_01_E8XT_8_Base.jpg,722,2,238,FLIR Systems AB,FLIR E8xt Wifi,Flir Cronos,1,2024:03:29 11:17:38,1,72.0,72.0,2024-03-26,11:24:12
HIP_01_E8XT_8_Cool.jpg,722,2,238,FLIR Systems AB,FLIR E8xt Wifi,Flir Cronos,1,2024:03:29 11:18:28,1,72.0,72.0,2024-03-26,11:33:10
HIP_01_E8XT_9_Base.jpg,722,2,238,FLIR Systems AB,FLIR E8xt Wifi,Flir Cronos,1,2024:03:29 11:19:12,1,72.0,72.0,2024-03-26,11:22:36
HIP_01_E8XT_9_Cool.jpg,722,2,238,FLIR Systems AB,FLIR E8xt Wifi,Flir Cronos,1,2024:03:29 11:20:08,1,72.0,72.0,2024-03-26,11:31:57
HIP_01_ProOne_10_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:21:15,1,72.0,72.0,2024-03-26,14:50:19
HIP_01_ProOne_10_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:22:15,1,72.0,72.0,2024-03-26,15:01:39
HIP_01_ProOne_11_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:23:46,1,72.0,72.0,2024-03-26,14:49:58
HIP_01_ProOne_11_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:24:36,1,72.0,72.0,2024-03-26,15:01:22
HIP_01_ProOne_12_Base.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:25:30,1,72.0,72.0,2024-03-26,14:52:17
HIP_01_ProOne_12_Cool.jpg,754,2,222,FLIR Systems AB,,Flir Cronos,1,2024:03:29 11:26:36,1,72.0,72.0,2024-03-26,15:03:42
